feature,coefficient,selected,n_subjects,study,panel,alpha
__intercept__,-0.4515917299844554,0,49,SDY797,A,0.015346266664842043
MIAA,0.0,0,49,SDY797,A,0.015346266664842043
GAD65,0.0,0,49,SDY797,A,0.015346266664842043
IA2IC,0.17792340434742787,1,49,SDY797,A,0.015346266664842043
ICA,-0.11979573203717483,1,49,SDY797,A,0.015346266664842043
ZNT8,0.0,0,49,SDY797,A,0.015346266664842043
8-12,0.0,0,49,SDY797,A,0.015346266664842043
13-17,0.0,0,49,SDY797,A,0.015346266664842043
>18,0.0,0,49,SDY797,A,0.015346266664842043
Sex,0.14101980457917773,1,49,SDY797,A,0.015346266664842043
