,SDY524,SDY569,SDY1737,median,IQR,FedAvg_by_N,n_sites_selected
Sex,0.0351699672118187,-0.0,0.002259262636088,0.002259262636088,0.01758498360590935,0.026208018790085247,2
age_years,0.0,0.0,0.0,0.0,0.0,0.0,0
disease_duration_years,0.0,0.0,0.0,0.0,0.0,0.0,0
bmi,0.0,0.0,0.0,0.0,0.0,0.0,0
height_cm,0.0,0.0,0.0,0.0,0.0,0.0,0
weight_kg,0.6982457688087788,0.6880299401226349,0.0,0.6880299401226349,0.3491228844043893,0.5832040281169226,2
GAD65,-0.0416732319624756,0.0,0.1802458953392419,0.0,0.11095956365085875,-0.0011891671007180859,2
IA2IC,-0.0,0.0,-0.0,0.0,0.0,0.0,0
MIAA,0.0,0.0,0.0,0.0,0.0,0.0,0
ZNT8,-0.0,0.0,0.0,0.0,0.0,0.0,0
ICA,0.0,0.0,0.0,0.0,0.0,0.0,0
received_active_treatment,0.0772450629495747,0.0,0.0,0.0,0.03862253147478735,0.056751474820095696,1
