Study,Model_Type,N_test,MSE_AB_Median,MSE_AB_IQR,MSE_AgeGroup_Median,MSE_AgeGroup_IQR,MSE_Sex_Median,MSE_Sex_IQR,MSE_GAD65,MSE_IA2IC,MSE_MIAA,MSE_ICA,MSE_ZNT8
SDY569,local,2,0.0022123880615710356,0.0014576558061314875,0.0783814811623988,0.05510036201062092,0.0783814811623988,0.05510036201062092,0.383785696692155,0.0011260258722488817,0.003120475496075294,0.0022123880615710356,0.0016628196899438064
SDY1625,local,6,0.0314998535735865,0.05212492612901769,0.09280129405616135,0.0,0.09280129405616136,0.05465054697353379,0.0183117677486937,0.3360396704115467,0.0314998535735865,0.007718484669268472,0.07043669387771138
SDY524,local,15,0.06160060107899004,0.010820144138615082,0.06042664691512019,0.01367766732777357,0.04932292110423343,0.014162443173777274,0.052278351919217037,0.06160060107899004,0.06309849605783212,0.0009585448204894426,0.09228268360093393
SDY797,local,10,0.1545595912669848,0.06378644020826271,0.16197221987456736,0.0,0.17130690325415815,0.015557805632651384,0.19911985229681511,0.10594943115433439,0.1353334120885524,0.21489881256615,0.1545595912669848
SDY1737,local,4,0.08996813882105223,0.02790883694391018,0.08036508051842389,0.001608672343751824,0.07031654964812906,0.020097061740589714,0.09340209777502778,0.11558447608720979,0.0654932608311176,0.03737742907771208,0.08996813882105223
SDY569,federated,5,0.0825026519459422,0.14541968238924716,0.1105877008334531,0.059655953773026016,0.08755670081102138,0.055499046339132704,0.21579248174542887,0.0825026519459422,0.16403372400635238,0.012339651079410818,0.018614041617105236
SDY1625,federated,14,0.025730572769628222,0.024392548317174502,0.02859241276186727,0.0,0.028592412761867275,0.007725685318916434,0.034785768290698495,0.06304354475101813,0.009008958024467504,0.010393219973523993,0.025730572769628222
SDY524,federated,38,0.052628672125218455,0.10629009768517454,0.11794678023797664,0.04146437751096571,0.12054926654630074,0.0021232222403187034,0.14028277948783813,0.3650802028693559,0.033992681802663585,0.012438224530889816,0.052628672125218455
SDY797,federated,25,0.5063058429504685,0.09727843487386523,0.4909067074385901,0.0,0.47982845015204745,0.021304340935658916,0.599170673319074,0.5063058429504685,0.5146996387451483,0.41693617830697655,0.4174212038712831
SDY1737,federated,8,0.03240810738391352,0.08879802649241983,0.0895343626933466,0.03997536206157083,0.07409807392243228,0.02420372313560261,0.10747950888716185,0.2002222511201346,0.03240810738391352,0.011699019826209425,0.018681482394742016
SDY569,retrained,5,0.0657239556312561,0.11804480478167534,0.09863846087829362,0.0530888107858576,0.07741933975151499,0.05300679484803543,0.17663274705410004,0.0657239556312561,0.15365979075431824,0.0356149859726429,0.008472039364278316
SDY1625,retrained,14,0.03845608979463577,0.047597117722034454,0.03777740034295644,0.0,0.037777400342956444,0.006405745387104228,0.03845608979463577,0.06428194791078568,0.002801277441903949,0.01668483018875122,0.06666285544633865
SDY524,retrained,38,0.03597256541252136,0.04375005327165127,0.04125232399832224,0.020212065673743097,0.04729450033531296,0.010072507560474002,0.09742487221956253,0.07074103504419327,0.03597256541252136,0.013295022770762444,0.026990981772542
SDY797,retrained,25,0.15675322711467743,0.04764436185359955,0.17685669064254342,0.0,0.18411222601176622,0.013952952633120796,0.14678484201431274,0.13365505635738373,0.1944292038679123,0.2526611387729645,0.15675322711467743
SDY1737,retrained,8,0.07191571593284607,0.04689611867070198,0.10144555669170693,0.01771823131357901,0.07909035380547302,0.014099274146014168,0.09455917030572891,0.14829686284065247,0.04766305163502693,0.03301697596907616,0.07191571593284607
