Study,Model_Type,Antibody,MSE,MSE_Median_5AB,MSE_IQR_5AB
SDY569,local,GAD65,0.18669239934552384,0.05118683799447867,0.08659321828370475
SDY569,local,IA2IC,0.05118683799447867,0.05118683799447867,0.08659321828370475
SDY569,local,MIAA,0.11810177542198316,0.05118683799447867,0.08659321828370475
SDY569,local,ICA,0.011857288885145208,0.05118683799447867,0.08659321828370475
SDY569,local,ZNT8,0.0315085571382784,0.05118683799447867,0.08659321828370475
SDY569,federated,GAD65,0.1949122794520295,0.07968640762130919,0.12488105398837596
SDY569,federated,IA2IC,0.07968640762130919,0.07968640762130919,0.12488105398837596
SDY569,federated,MIAA,0.15697744942857125,0.07968640762130919,0.12488105398837596
SDY569,federated,ICA,0.024110281313217685,0.07968640762130919,0.12488105398837596
SDY569,federated,ZNT8,0.03209639544019529,0.07968640762130919,0.12488105398837596
SDY569,retrained,GAD65,0.17208312222450411,0.06742401641535999,0.11603434385527643
SDY569,retrained,IA2IC,0.06742401641535999,0.06742401641535999,0.11603434385527643
SDY569,retrained,MIAA,0.15501175084001323,0.06742401641535999,0.11603434385527643
SDY569,retrained,ICA,0.0389774069847368,0.06742401641535999,0.11603434385527643
SDY569,retrained,ZNT8,0.008619803915562208,0.06742401641535999,0.11603434385527643
SDY1625,local,GAD65,0.05245067168105696,0.05245067168105696,0.06478437794009602
SDY1625,local,IA2IC,0.06540379122557981,0.05245067168105696,0.06478437794009602
SDY1625,local,MIAA,0.0006194132854837846,0.05245067168105696,0.06478437794009602
SDY1625,local,ICA,0.0005310741107340018,0.05245067168105696,0.06478437794009602
SDY1625,local,ZNT8,0.1056184449377902,0.05245067168105696,0.06478437794009602
SDY1625,federated,GAD65,0.0368036579137841,0.0368036579137841,0.01915711624774663
SDY1625,federated,IA2IC,0.06906214334653518,0.0368036579137841,0.01915711624774663
SDY1625,federated,MIAA,0.014401394221477138,0.0368036579137841,0.01915711624774663
SDY1625,federated,ICA,0.020754661783114976,0.0368036579137841,0.01915711624774663
SDY1625,federated,ZNT8,0.03991177803086161,0.0368036579137841,0.01915711624774663
SDY1625,retrained,GAD65,0.03564510524948592,0.03564510524948592,0.03928737983125012
SDY1625,retrained,IA2IC,0.06502794772621866,0.03564510524948592,0.03928737983125012
SDY1625,retrained,MIAA,0.002295476796716283,0.03564510524948592,0.03928737983125012
SDY1625,retrained,ICA,0.01476822758575097,0.03564510524948592,0.03928737983125012
SDY1625,retrained,ZNT8,0.05405560741700109,0.03564510524948592,0.03928737983125012
SDY524,local,GAD65,0.08916282176890077,0.053291988961674065,0.0018544789954469537
SDY524,local,IA2IC,0.053291988961674065,0.053291988961674065,0.0018544789954469537
SDY524,local,MIAA,0.053132125964266294,0.053291988961674065,0.0018544789954469537
SDY524,local,ICA,0.003724779343834943,0.053291988961674065,0.0018544789954469537
SDY524,local,ZNT8,0.05498660495971325,0.053291988961674065,0.0018544789954469537
SDY524,federated,GAD65,0.13498746679637252,0.05424460559610702,0.10252387803948391
SDY524,federated,IA2IC,0.38362588203114495,0.05424460559610702,0.10252387803948391
SDY524,federated,MIAA,0.03246358875688861,0.05424460559610702,0.10252387803948391
SDY524,federated,ICA,0.022203760090286743,0.05424460559610702,0.10252387803948391
SDY524,federated,ZNT8,0.05424460559610702,0.05424460559610702,0.10252387803948391
SDY524,retrained,GAD65,0.10097978239695314,0.04057213501497038,0.04460180314783413
SDY524,retrained,IA2IC,0.07227815933692289,0.04057213501497038,0.04460180314783413
SDY524,retrained,MIAA,0.04057213501497038,0.04057213501497038,0.04460180314783413
SDY524,retrained,ICA,0.02767635618908876,0.04057213501497038,0.04460180314783413
SDY524,retrained,ZNT8,0.022691401893104125,0.04057213501497038,0.04460180314783413
